iter	Passed	Remaining
665	38152	7676
666	38221	7621
667	38285	7565
668	38367	7512
669	38448	7460
670	38524	7406
671	38607	7353
672	38682	7299
673	38766	7247
674	38840	7192
675	38925	7140
676	38989	7083
677	39059	7028
678	39138	6974
679	39216	6920
680	39273	6862
681	39339	6806
682	39404	6750
683	39480	6695
684	39562	6641
685	39642	6587
686	39724	6534
687	39798	6478
688	39874	6423
689	39935	6366
690	40001	6309
691	40076	6254
692	40145	6198
693	40227	6144
694	40313	6090
695	40394	6035
696	40470	5980
697	40550	5925
698	40622	5869
699	40694	5813
700	40770	5757
701	40853	5703
702	40925	5646
703	41008	5592
704	41080	5535
705	41140	5477
706	41204	5420
707	41276	5363
708	41351	5307
709	41426	5251
710	41516	5196
711	41612	5143
712	41696	5087
713	41779	5032
714	41852	4975
715	41934	4919
716	42042	4866
717	42138	4812
718	42207	4754
719	42266	4696
720	42330	4638
721	42401	4580
722	42493	4525
723	42578	4469
724	42658	4412
725	42726	4355
726	42791	4296
727	42853	4238
728	42921	4180
729	43000	4123
730	43089	4067
731	43191	4012
732	43256	3953
733	43317	3895
734	43391	3837
735	43469	3779
736	43551	3722
737	43642	3666
738	43729	3609
739	43803	3551
740	43863	3492
741	43942	3434
742	44037	3378
743	44128	3321
744	44198	3262
745	44258	3203
746	44335	3145
747	44413	3087
748	44498	3029
749	44586	2972
750	44669	2914
751	44755	2856
752	44842	2798
753	44920	2740
754	45003	2682
755	45074	2623
756	45138	2564
757	45206	2504
758	45285	2446
759	45346	2386
760	45426	2328
761	45517	2269
762	45598	2211
763	45681	2152
764	45762	2093
765	45840	2034
766	45915	1975
767	45992	1916
768	46076	1857
769	46155	1798
770	46233	1739
771	46294	1679
772	46353	1619
773	46413	1559
774	46474	1499
775	46553	1439
776	46633	1380
777	46711	1320
778	46772	1260
779	46851	1201
780	46921	1141
781	46989	1081
782	47053	1021
783	47133	961
784	47199	901
785	47263	841
786	47371	782
787	47435	722
788	47506	662
789	47561	602
790	47634	541
791	47719	482
792	47781	421
793	47843	361
794	47921	301
795	48005	241
796	48090	181
797	48170	120
798	48243	60
799	48304	0
